IDENTIFIANT,Identifiant DICOM,Nom,TYPE,Adresse,Code postal,HORAIRES PERIODE,arrondissement,Jour,Horaires
BD10,18313,Bain-douche Meaux,Bains-douches,"18, rue de Meaux",75019,du 01/01/20 au 01/01/32,19,vendredi,07h30 - 13h00
BD6,18290,Bain-douche des Deux-Ponts,Bains-douches,"8, rue des Deux-Ponts",75004,à partir du 01/01/20,4,vendredi,12h00 - 18h00
BD13,18314,Bain-douche Petitot,Bains-douches,"1, rue Petitot",75019,du 01/11/24 au 30/11/25,19,vendredi,12h00 - 18h00
BD3,18310,Bain-douche Blomet,Bains-douches,"17, rue Blomet",75015,du 01/01/20 au 01/01/32,15,vendredi,07h30 - 13h00
BD8,18323,Bain-douche Lacépède,Bains-douches,"50, rue Lacepède",75005,du 01/01/20 au 01/01/32,5,vendredi,07h30 - 13h00
BD7,18320,Bain-douche des Haies,Bains-douches,"27, rue des Haies",75020,du 01/01/20 au 01/01/32,20,vendredi,07h30 - 13h00
BD9,18325,Bain-douche Les Amiraux,Bains-douches,"6, rue Hermann-Lachapelle",75018,du 01/01/20 au 01/01/32,18,vendredi,12h00 - 18h00
BD4,18309,Bain-douche Butte-aux-Cailles,Bains-douches,"5, place Paul-Verlaine",75013,à partir du 16/06/20,13,vendredi,07h30 - 13h00
BD14,18324,Bain-douche Rome,Bains-douches,"43, rue de Rome",75008,du 01/01/20 au 01/01/32,8,vendredi,07h30 - 13h00
BD15,18315,Bain-douche Rouvet,Bains-douches,"1, rue Rouvet",75019,du 19/01/24 au 30/09/25,19,vendredi,-
BD1,18307,Bain-douche Audubon,Bains-douches,"11, rue Audubon",75012,du 01/01/20 au 01/01/32,12,vendredi,12h00 - 18h00
BD12,18306,Bain-douche Oberkampf,Bains-douches,"42, rue Oberkampf",75011,du 01/01/20 au 01/01/32,11,vendredi,07h30 - 13h00
BD16,18291,Bain-douche Saint-Merri,Bains-douches,"18, rue du Renard",75004,du 01/01/20 au 01/01/32,4,vendredi,07h30 - 13h00
BD2,18322,Bain-douche Bidassoa,Bains-douches,"27, rue de la Bidassoa",75020,du 01/01/20 au 01/01/32,20,vendredi,-
BD5,18308,Bain-douche Charenton,Bains-douches,"188, rue de Charenton",75012,du 01/01/20 au 01/02/25,12,vendredi,07h30 - 13h00
BD17,18321,Bain -douche Pyrénées,Bains-douches,"296, rue des Pyrénées",75020,du 01/01/20 au 01/01/32,20,samedi,07h30 - 13h00
BD11,18312,Bain-douche Ney,Bains-douches,"134, boulevard Ney",75018,du 01/01/20 au 01/01/32,18,samedi,07h30 - 13h00
BD10,18313,Bain-douche Meaux,Bains-douches,"18, rue de Meaux",75019,du 01/01/20 au 01/01/32,19,samedi,07h30 - 13h00
BD6,18290,Bain-douche des Deux-Ponts,Bains-douches,"8, rue des Deux-Ponts",75004,à partir du 01/01/20,4,samedi,12h00 - 18h00
BD13,18314,Bain-douche Petitot,Bains-douches,"1, rue Petitot",75019,du 01/11/24 au 30/11/25,19,samedi,12h00 - 18h00
BD3,18310,Bain-douche Blomet,Bains-douches,"17, rue Blomet",75015,du 01/01/20 au 01/01/32,15,samedi,07h30 - 13h00
BD8,18323,Bain-douche Lacépède,Bains-douches,"50, rue Lacepède",75005,du 01/01/20 au 01/01/32,5,samedi,07h30 - 13h00
BD7,18320,Bain-douche des Haies,Bains-douches,"27, rue des Haies",75020,du 01/01/20 au 01/01/32,20,samedi,07h30 - 13h00
BD9,18325,Bain-douche Les Amiraux,Bains-douches,"6, rue Hermann-Lachapelle",75018,du 01/01/20 au 01/01/32,18,samedi,12h00 - 18h00
BD4,18309,Bain-douche Butte-aux-Cailles,Bains-douches,"5, place Paul-Verlaine",75013,à partir du 16/06/20,13,samedi,07h30 - 13h00
BD14,18324,Bain-douche Rome,Bains-douches,"43, rue de Rome",75008,du 01/01/20 au 01/01/32,8,samedi,07h30 - 13h00
BD15,18315,Bain-douche Rouvet,Bains-douches,"1, rue Rouvet",75019,du 19/01/24 au 30/09/25,19,samedi,-
BD1,18307,Bain-douche Audubon,Bains-douches,"11, rue Audubon",75012,du 01/01/20 au 01/01/32,12,samedi,-
BD12,18306,Bain-douche Oberkampf,Bains-douches,"42, rue Oberkampf",75011,du 01/01/20 au 01/01/32,11,samedi,07h30 - 13h00
BD16,18291,Bain-douche Saint-Merri,Bains-douches,"18, rue du Renard",75004,du 01/01/20 au 01/01/32,4,samedi,07h30 - 13h00
BD2,18322,Bain-douche Bidassoa,Bains-douches,"27, rue de la Bidassoa",75020,du 01/01/20 au 01/01/32,20,samedi,-
BD5,18308,Bain-douche Charenton,Bains-douches,"188, rue de Charenton",75012,du 01/01/20 au 01/02/25,12,samedi,07h30 - 13h00
BD17,18321,Bain -douche Pyrénées,Bains-douches,"296, rue des Pyrénées",75020,du 01/01/20 au 01/01/32,20,dimanche,08h00 - 12h30
BD11,18312,Bain-douche Ney,Bains-douches,"134, boulevard Ney",75018,du 01/01/20 au 01/01/32,18,dimanche,08h00 - 12h30
BD10,18313,Bain-douche Meaux,Bains-douches,"18, rue de Meaux",75019,du 01/01/20 au 01/01/32,19,dimanche,08h00 - 12h30
BD6,18290,Bain-douche des Deux-Ponts,Bains-douches,"8, rue des Deux-Ponts",75004,à partir du 01/01/20,4,dimanche,-
BD13,18314,Bain-douche Petitot,Bains-douches,"1, rue Petitot",75019,du 01/11/24 au 30/11/25,19,dimanche,-
BD3,18310,Bain-douche Blomet,Bains-douches,"17, rue Blomet",75015,du 01/01/20 au 01/01/32,15,dimanche,08h00 - 12h30
BD8,18323,Bain-douche Lacépède,Bains-douches,"50, rue Lacepède",75005,du 01/01/20 au 01/01/32,5,dimanche,08h00 - 12h30
BD7,18320,Bain-douche des Haies,Bains-douches,"27, rue des Haies",75020,du 01/01/20 au 01/01/32,20,dimanche,08h00 - 12h30
BD9,18325,Bain-douche Les Amiraux,Bains-douches,"6, rue Hermann-Lachapelle",75018,du 01/01/20 au 01/01/32,18,dimanche,-
BD4,18309,Bain-douche Butte-aux-Cailles,Bains-douches,"5, place Paul-Verlaine",75013,à partir du 16/06/20,13,dimanche,08h30 - 12h30
BD14,18324,Bain-douche Rome,Bains-douches,"43, rue de Rome",75008,du 01/01/20 au 01/01/32,8,dimanche,08h00 - 12h30
BD15,18315,Bain-douche Rouvet,Bains-douches,"1, rue Rouvet",75019,du 19/01/24 au 30/09/25,19,dimanche,-
BD1,18307,Bain-douche Audubon,Bains-douches,"11, rue Audubon",75012,du 01/01/20 au 01/01/32,12,dimanche,-
BD12,18306,Bain-douche Oberkampf,Bains-douches,"42, rue Oberkampf",75011,du 01/01/20 au 01/01/32,11,dimanche,08h00 - 12h30
BD16,18291,Bain-douche Saint-Merri,Bains-douches,"18, rue du Renard",75004,du 01/01/20 au 01/01/32,4,dimanche,08h00 - 12h30
BD2,18322,Bain-douche Bidassoa,Bains-douches,"27, rue de la Bidassoa",75020,du 01/01/20 au 01/01/32,20,dimanche,-
BD5,18308,Bain-douche Charenton,Bains-douches,"188, rue de Charenton",75012,du 01/01/20 au 01/02/25,12,dimanche,08h00 - 12h30
